,ABC Teknoloji A.Ş.,ABC Technology Inc.,XYZ Yazılım Ltd.,XYZ Software Limited,KLM Otomotiv Sanayi,KLM Automotive Industry,Delta Bilgisayar Hizmetleri,Delta Computer Services,Beta Danışmanlık ve Ticaret,Beta Consulting & Trade
ABC Teknoloji A.Ş.,1.0,0.6111111111111112,0.125,0.19999999999999996,0.21052631578947367,0.17391304347826086,0.11111111111111116,0.21739130434782605,0.14814814814814814,0.18181818181818177
ABC Technology Inc.,0.6111111111111112,1.0,0.16666666666666663,0.09999999999999998,0.10526315789473684,0.21739130434782605,0.11111111111111116,0.13043478260869568,0.14814814814814814,0.2272727272727273
XYZ Yazılım Ltd.,0.125,0.16666666666666663,1.0,0.4,0.10526315789473684,0.13043478260869568,0.18518518518518523,0.08695652173913049,0.2592592592592593,0.2272727272727273
XYZ Software Limited,0.19999999999999996,0.09999999999999998,0.4,1.0,0.09999999999999998,0.21739130434782605,0.2592592592592593,0.21739130434782605,0.2222222222222222,0.13636363636363635
KLM Otomotiv Sanayi,0.21052631578947367,0.10526315789473684,0.10526315789473684,0.09999999999999998,1.0,0.5217391304347826,0.14814814814814814,0.26086956521739135,0.18518518518518523,0.2727272727272727
KLM Automotive Industry,0.17391304347826086,0.21739130434782605,0.13043478260869568,0.21739130434782605,0.5217391304347826,1.0,0.18518518518518523,0.17391304347826086,0.2222222222222222,0.17391304347826086
Delta Bilgisayar Hizmetleri,0.11111111111111116,0.11111111111111116,0.18518518518518523,0.2592592592592593,0.14814814814814814,0.18518518518518523,1.0,0.33333333333333337,0.18518518518518523,0.2222222222222222
Delta Computer Services,0.21739130434782605,0.13043478260869568,0.08695652173913049,0.21739130434782605,0.26086956521739135,0.17391304347826086,0.33333333333333337,1.0,0.33333333333333337,0.3913043478260869
Beta Danışmanlık ve Ticaret,0.14814814814814814,0.14814814814814814,0.2592592592592593,0.2222222222222222,0.18518518518518523,0.2222222222222222,0.18518518518518523,0.33333333333333337,1.0,0.40740740740740744
Beta Consulting & Trade,0.18181818181818177,0.2272727272727273,0.2272727272727273,0.13636363636363635,0.2727272727272727,0.17391304347826086,0.2222222222222222,0.3913043478260869,0.40740740740740744,1.0
